onset	duration	sample	value
124.5136718750	n/a	127502	condition 54
137.0634765625	n/a	140353	condition 54
149.2138671875	n/a	152795	condition 54
161.8466796875	n/a	165731	condition 54
174.6464843750	n/a	178838	condition 54
187.7802734375	n/a	192287	condition 54
199.9628906250	n/a	204762	condition 54
212.3632812500	n/a	217460	condition 54
224.6464843750	n/a	230038	condition 54
237.1796875000	n/a	242872	condition 54
250.2792968750	n/a	256286	condition 54
262.6621093750	n/a	268966	condition 54
275.5791015625	n/a	282193	condition 54
287.7294921875	n/a	294635	condition 54
300.8125000000	n/a	308032	condition 54
313.7119140625	n/a	321241	condition 54
