onset	duration	sample	value
122.6796875000	n/a	125624	condition 54
135.5634765625	n/a	138817	condition 54
147.7294921875	n/a	151275	condition 54
160.2626953125	n/a	164109	condition 54
172.5791015625	n/a	176721	condition 54
185.2460937500	n/a	189692	condition 54
198.0791015625	n/a	202833	condition 54
210.9453125000	n/a	216008	condition 54
223.3457031250	n/a	228706	condition 54
236.2451171875	n/a	241915	condition 54
249.2285156250	n/a	255210	condition 54
261.8291015625	n/a	268113	condition 54
274.5947265625	n/a	281185	condition 54
287.4951171875	n/a	294395	condition 54
299.7783203125	n/a	306973	condition 54
312.4453125000	n/a	319944	condition 54
